Nom;Client;BU;Création;Auteur;TMA (j/an);Projets (j/an);AT (j/an);Charge;Langages de dev;Framework JAVA;Framework PHP;Framework JS;Serveur d'exécution;Stockage;Autres;Sources;CI/CD actuel (emplacement);CI/CD actuel (phases);Livrable;CI/CD futur (migration prévue);Infra
Ulysse 2;Siplec (Leclerc);Digital;2015;Sigma;3;0;0;3;JAVA:8,Groovy,JS;Struts;0;0;Tomcat:8;PostgreSql:9.4;0;SVN (Sigma) : svn://sigxdvcs02/ci/java/u2;Jenkins (Sigma) : http://forge-logiciel-ci.groupesigma.fr/jenkins/view/Ulysse%202/;build;war;0;PROD (Qomity) : (war sur tomcat : 1 pour les batchs, 4 pour les applis){EOL}REC (Qomity) : (war sur tomcat){EOL}DEV (Qomity) : (war sur tomcat)
Web commandes scapmarée (legacy);Scapmaree (Leclerc);Digital;2011;Sigma;35;5;0;40;JAVA:7,Groovy,JS;Grails:2.4;0;0;0;0;0;Git (Sigma) : https://gitn.sigma.fr/scapmar-e/webcommande;Jenkins (Sigma) : http://forge-logiciel-ci.groupesigma.fr/jenkins/view/Scapmaree/job/LivraisonScapMareeGitParametrise;build;war;0;PROD (Qomity) : (war sur tomcat, 1 pour les batchs, 4 pour les applis){EOL}REC (Qomity) : (war sur tomcat){EOL}REC interne (Qomity) :  (Windows XP, reste à migrer){EOL}DEV (Qomity) : (war sur tomcat)
Milo;Porte Atlantique de La Rochelle;Digital;2010;Sigma;0;0;0;0;JAVA:6,Groovy,JS;Grails:1.3.6;0;0;Tomcat:6;PostgreSql:8.4;0;Git (Sigma) : https://gitn.sigma.fr/plr/portlarochelle;Jenkins (Sigma) : http://forge-logiciel-ci.groupesigma.fr/jenkins/view/PLR/;build;war;0;PROD (Client) : (2 serveurs applicatifs Tomcat + 2 serveurs BDD infogérés hors sigma){EOL}REC client (Client) : (war sur tomcat){EOL}REC interne (Qomity): (Windows XP, reste à migrer){EOL}DEV (Qomity) : (war sur tomcat)
Scapmarée mobilité;Scapmaree (Leclerc);Digital;2019;Sigma;35;10;0;45;JAVA:11,JS;0;0;Angular;0;0;Docker;Git (Sigma) : https://gitn.sigma.fr/scapmar-e/mobilitemagasins;Gitlab (Sigma) : https://gitn.sigma.fr/scapmar-e/mobilitemagasins/-/pipelines;build, deploy;docker;0;PROD (Qomity) : (2 VM avec démon docker){EOL}REC client (Qomity) : (docker){EOL}REC interne (Qomity) : (Windows XP, docker){EOL}DEV (Qomity) : (docker)
Energéo (legacy - webapp);Siplec (Leclerc);Digital;2010;Sigma;200;0;0;200;JAVA:5, JS, C++;0;0;0;0;Oracle, Oracle TimesTen;0;Git (Siplec) : https://gitlab.siplec.com/;Jenkins (Siplec Qomity) : http://ccdliv.sipn.srv.sigma.host:8080/view/CCP/;build;0;0;PROD (Qomity) :{EOL}PRE-PROD (Client) :{EOL}REC (Client) :{EOL}Validation (Client) :{EOL}Dev (Client) :
Energéo batch;Siplec (Leclerc);Digital;2022;Sigma;10;0;0;10;JAVA:17;Springbatch;0;0;0;0;Docker;Git (Siplec) : https://gitlab.siplec.com/;Gitlab (Siplec) : https://gitlab.siplec.com/;build;0;0;PROD (Client) : (batch orchestré par VTOM, pas d'accès Sigma){EOL}REC client (Client) : (batch orchestré par VTOM, pas d'accès Sigma){EOL}REC interne (Client) : (batch orchestré par VTOM, pas d'accès Sigma){EOL}DEV (Client) : (batch orchestré par VTOM, pas d'accès Sigma)
Extranet assuré;Cogévie;Digital;2022;Sigma;15;200;0;215;JAVA:11,JS,TS;Springboot:2.6.6;0;Angular:13;0;MariaDB;Strapi;Git (Sigma) : https://gitn.sigma.fr/cgv/espaceassure;Gitlab (Sigma) : https://gitn.sigma.fr/cgv/espaceassure;build;docker;0;PROD (Qomity) : https://espace-securise.cogevie.fr (Azure){EOL}REC (Qomity) : https://rec-espace-securise.cogevie.fr (Azure){EOL}DEV (Qomity) : http://signxdapp005.srv.sigma.host:7002 (VM)
Affiliation en ligne;Cogévie;Digital;2020;Sigma;0;50;0;50;PHP:8.0,JS;0;Symfony:5.2;0;0;0;0;Git (Sigma) : https://gitn.sigma.fr/cgv/affiliation;Gitlab (Sigma) : https://gitn.sigma.fr/cgv/affiliation;build;docker;0;PROD (Qomity) : https://affiliation.cogevie.fr (Azure){EOL}REC (Qomity) : https://rec-affiliation.cogevie.fr (Azure){EOL}DEV (Qomity) : http://signxdapp005.srv.sigma.host:8011 (VM)
Questionnaire cyber;Cogévie;Digital;2020;Sigma;0;0;0;0;PHP:8.0,JS;0;Symfony:5.2;0;0;0;0;Git (Sigma) : ;Gitlab (Sigma) : ;0;docker;0;PROD (Qomity) : https://cybersecurite.chesneau.net (Azure){EOL}REC (Qomity) : https://web-app-rec-cyber.azurewebsites.net (Azure){EOL}DEV (Qomity) : http://signxdapp005.srv.sigma.host (VM)
Chatbot;Cogévie;Digital;2020;Sigma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Azure Webapp;0;PROD (Qomity) : https://webchat.botframework.com/embed/cogevie-chatbot?s=h7Ts3FLNO8k.HRiVfsV2EIO2j_PJjSAm1uNpNpD_Q8Q_4vXkSDbgR3Y (Azure){EOL}DEV (Qomity) : (Azure)
Espace entreprise;Cogévie;Digital;2023;Sigma;0;200;0;200;0;0;0;0;0;0;0;0;0;0;0;0;
Heppner - portail client;Heppner;Digital;2022;Sigma;130;130;0;260;JAVA:17,JS,TS;Springboot:2.7.20;0;Angular:13;0;PostgreSql:13;strapi;Git (Sigma) : https://gitn.sigma.fr/sigma/digital-factory/projets-clients/heppner/portail;Gitlab (Sigma) : https://gitn.sigma.fr/sigma/digital-factory/projets-clients/heppner/portail;build, test, package, publish, deploy;docker;Heppner;PROD (Client) : https://myportal.heppner-group.com (GCP){EOL}REC (Client) : https://myportal-staging.heppner-group.com (GCP){EOL}INT (Client) : https://myportal-int.heppner-group.com (GCP){EOL}INT (Qomity) : http://signxdapp005.srv.sigma.host:4002 (VM)
Patients internationaux;CHU Nantes;Digital;2019;Sigma;0;0;0;0;PHP:7.2.21,JS;0;Symfony:5.2;0;0;PostgreSql:10.9;0;Git (Sigma) : https://gitn.sigma.fr/CHN/DSN/portail-patients-internationaux;0;0;zip;0;PROD (Client): (ZIP, pas d'accès Sigma){EOL}INT (Qomity): (voir avec Stéphane)
GCA;Groupe Charles André;Digital;2022;Sigma;0;0;600;600;JAVA:8,JS,TS;0;0;Angular:14;0;PostgreSql;gradle;0;0;0;0;GCA;
Well Com (ex papyrus);Galec;Digital;2015;Sigma;100;250;0;350;JAVA:8,JS;Galec:v2, Spring:1.2.7,  Hibernate:2.1.3;0;0;Tomcat:9;SQL Server, PostgreSql;0;Git (Sigma) : https://gitn.sigma.fr/sigma/digital-factory/projets-internes/Papyrus;Gitlab (Sigma) : https://gitn.sigma.fr/sigma/digital-factory/projets-internes/Papyrus;build;war, zip;Galec;PROD (Client): {EOL}MAINTENANCE (Client) : {EOL}REC  (Client) : {EOL}QUALIF (Qomity) : (env à dispo de sigma){EOL}INT (Qomity) : http://signxdapp005.srv.sigma.host:50730  (VM, war)
BADH (Base Adhérent);Galec;Digital;2005 ?;Galec;100;0;0;100;JAVA:8,JS;Galec:v1, Struts:1, Hibernate:2;0;jQuery;Tomcat:9;PostgreSql;0;Git (Sigma) : https://gitn.sigma.fr/sigma/digital-factory/projets-internes/baseadherent;0;0;war;Galec;PROD (Client): {EOL}MAINTENANCE (Client) : {EOL}REC  (Client) : {EOL}QUALIF (Qomity) : {EOL}INT (Qomity) : http://signxdapp005.srv.sigma.host:50540 (VM)
Isis Assortiments;Galec;Digital;2016 ?;Sigma;30;0;0;30;JAVA:8,JS;Galec:v2, Spring:1.2.7,  Hibernate:2.1.3;0;0;Tomcat:9;SQL Server, PostgreSql;0;Git (Sigma) : https://gitn.sigma.fr/sigma/digital-factory/projets-internes/isisassortiment;0;0;war;Galec;PROD (Client): {EOL}MAINTENANCE (Client) : {EOL}REC  (Client) : {EOL}QUALIF (Qomity) : {EOL}INT (Qomity) : http://signxdapp005.srv.sigma.host:? (VM)
RBA Culturel (Référentiel Base Article);Galec;Digital;2010;Sigma;50;0;0;50;JAVA:8,JS;Galec:v2, Struts:1, Hibernate:2;0;jQuery;Tomcat:9;SQL Server, PostgreSql, DB2;ant;Git (Sigma) : https://gitn.sigma.fr/sigma/digital-factory/projets-internes/rbaculturel;0;0;zip;Galec;PROD (Client): {EOL}MAINTENANCE (Client) : {EOL}REC  (Client) : {EOL}QUALIF (Qomity) : {EOL}INT (Qomity) : http://signxdapp005.srv.sigma.host:? (VM)
Galec Synchro;Galec;Digital;2019;Sigma;10;0;0;10;JAVA:11;Springboot;0;0;Tomcat embedded;0;gradle;Git (Sigma) : https://gitn.sigma.fr/ele/galec/galecsynchro;Gitlab (Sigma) : https://gitn.sigma.fr/ele/galec/galecsynchro;test, package;jar;Galec;PROD (Client): {EOL}MAINTENANCE (Client) : {EOL}REC  (Client) : {EOL}INT (Qomity) : 
Bim-iam (base infos magasin);Galec;Digital;2020;SQLI;30;0;0;30;NodeJS:16,JS,TS;0;0;Angular;0;PostgreSql;GraphQL;Git (Galec) : https://dev.azure.com/lec-gal/;Azure Devops (Galec);0;0;Galec;PROD (Client): (GCP)
Alliance Locale;Galec;Digital;2020;Sopra;20;0;0;20;JAVA:8,JS;Springboot;0;0;0;0;0;Git (Galec) : https://dev.azure.com/lec-gal/;Azure Devops (Galec);0;0;Galec;PROD (Client): (GCP)
RSP;Rennes Metropole (CLH);Digital;2018;Sigma;36;50;0;86;JAVA:8,JS,TS;Springboot:1.5.7;0;Angular:4;0;PostgreSql:12;0;Git (Sigma) : https://gitn.sigma.fr/rem/rsp;Gitlab (Sigma) : https://gitn.sigma.fr/rem/rsp;build, deploy (int);war;0;PROD (Qomity) : https://airsp.fr (VM){EOL}REC (Qomity) : https://recette.airsp.fr (VM){EOL}INT (Qomity) : http://172.31.40.19:8092 (VM)
Sofinord;Sofinord (interim);Digital;2015;Sigma;10;10;0;20;PHP:7,JS;0;Symfony:3.2.13;jQuery;Nginx;PostgreSql:9.6.2;0;Git (Sigma) : https://gitn.sigma.fr/sofinord/sofinord;0;0;docker, zip;0;PROD (Qomity) :  (VM){EOL}REC (Qomity) :  (VM){EOL}INT (Qomity) :  (VM)
FFBA;Fédération Française des Banques Alimentaires;Digital;2020;Sigma;20;130;0;150;PHP:7.3.9,JS;0;Symfony:4.4.5;jQuery;0;PostgreSql:11.18;0;Git (Sigma) : https://gitn.sigma.fr/ffba/site-collecte;Gitlab (Sigma) : https://gitn.sigma.fr/ffba/site-collecte;build, deploy (int);Azure Webapp;0;PROD (Qomity) : https://collecte.banquealimentaire.org (Azure){EOL}REC (Qomity): https://recette-collecte.banquealimentaire.org (Azure){EOL}INT (Qomity) : https://ffba-inte2.azurewebsites.net (Azure)
GFC;Galec;Digital;2000;Sigma;200;0;0;200;JAVA:8,JS;Galec:v1, Spring:1.2.7,  Hibernate:2.1.3;0;0;Tomcat:9;DB2;0;Git (Sigma) : ?;0;0;war;Galec;PROD (Client): {EOL}MAINTENANCE (Client) : {EOL}REC  (Client) : {EOL}INT (Qomity) : (VM)
CCA;Galec;Digital;2000;Sigma;10;0;0;10;JAVA:8,JS;Galec:v2, Spring:1.2.7,  Hibernate:2.1.3;0;0;Tomcat:9;DB2;0;Git (Sigma) : ?;0;0;war;Galec;PROD (Client): {EOL}MAINTENANCE (Client) : {EOL}REC  (Client) : {EOL}INT (Qomity) : (VM)
Origami;Galec;Digital;2019;SQLI;250;0;0;250;JAVA:11,JS,TS;Springboot:2.1.4;0;Angular:8;Tomcat:9;PostgreSql:10;Maven:3;Git (Galec) : https://dev.azure.com/lec-gal/origami;Azure Devops (Galec);build, test, static analysis, deploy;0;Galec;PROD (Client): {EOL}MAINTENANCE (Client) : {EOL}REC  (Client) : {EOL}INT (Qomity) : (VM)
DiagInfo;Habitat Réuni;Digital;2015;Sigma;160;130;0;290;PHP:7.1.30,JS;0;Symfony:2.8.17;Bootstrap:3.3.4;Apache;MariaDB:5.5.56;0;Git (Sigma) : https://gitn.sigma.fr/sigma/diaginfo/diaginfo;Gitlab (Sigma) : https://gitn.sigma.fr/sigma/diaginfo/diaginfo;build, deploy (int);zip;0;PROD (Qomity):  (2 VMs){EOL}REC (Qomity) : https://recette-sigma.diaginfo.fr (VM){EOL}INT (Qomity) : (VM)
BestSeller;Zeiss;Digital;2017;Sigma;100;0;0;100;JAVA:8,JS,TS;Springboot:2.6;0;Angular:4.4;Tomcat;SQL Server:2017;0;0;0;0;war;0;PROD (Qomity): (VM){EOL}REC (Qomity): (VM)
Zoom;Zeiss;Digital;2019;Sigma;50;0;0;50;JAVA:11,JS;Springboot:2.1.6;0;Angular:8;Tomcat;SQL Server:2017;0;0;0;0;war;0;PROD (Qomity): (VM){EOL}REC (Qomity): (VM)
Espace courrier;Finistère Assurance;Digital;2020;Sigma;15;15;0;30;JAVA:11,JS,TS;Springboot:2.6.2;0;Angular:10;OpenShift:v3;PostgreSql;0;0;0;0;docker;0;PROD (Qomity): (OpenShift){EOL}REC (Qomity): (OpenShift){EOL}INT (Qomity): (OpenShift)
Espace signature;Finistère Assurance;Digital;2020;Sigma;15;15;0;30;JAVA:11,JS,TS;Springboot:2.6.2;0;Angular:10;OpenShift:v3;PostgreSql;0;0;0;0;docker;0;PROD (Qomity): (OpenShift){EOL}REC (Qomity): (OpenShift){EOL}INT (Qomity): (OpenShift)
Keycloak;Finistère Assurance;Digital;2020;Sigma;15;15;0;30;0;0;0;0;0;PostgreSql,LDAP;0;0;0;0;docker;0;PROD (Qomity): (OpenShift){EOL}REC (Qomity): (OpenShift){EOL}INT (Qomity): (OpenShift)
Assistance Technique;Finistère Assurance;Digital;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Intranet Cotisant;Sécurité Sociale des Artistes Auteur;Digital;1996;Sigma;40;0;0;40;ASP,VB:6;0;0;0;0;SQL Server:2016;0;Git (Sigma) : https://gitn.sigma.fr/age/agessa_cotisants;0;0;zip;0;PROD (Qomity): (IIS){EOL}REC (Qomity): (IIS){EOL}INT (Qomity): (IIS)
Intranet Diffuseur;Sécurité Sociale des Artistes Auteur;Digital;1996;Sigma;0;0;0;0;ASP,VB:6;0;0;0;0;SQL Server:2016;0;Git (Sigma) : https://gitn.sigma.fr/age/agessa_diffuseurs_web;0;0;zip;0;PROD (Qomity): (IIS){EOL}REC (Qomity): (IIS){EOL}INT (Qomity): (IIS)
Extranets;Sécurité Sociale des Artistes Auteur;Digital;2005;Sigma;5;0;0;5;ASP,VB:6;0;0;0;0;SQL Server:2016;0;Git (Sigma) : https://gitn.sigma.fr/age/agessa_internet;0;0;zip;0;PROD (Qomity): (IIS){EOL}REC (Qomity): (IIS){EOL}INT (Qomity): (IIS)
Intranet Comptable;Sécurité Sociale des Artistes Auteur;Digital;2016;Sigma;8;0;0;8;PHP;0;Symfony:2.8.17;jQuery;0;SQL Server:2016;Web Sockets;Git (Sigma) : https://gitn.sigma.fr/age/intranetcomptab;0;0;zip;0;PROD (Qomity): (IIS){EOL}REC (Qomity): (IIS){EOL}INT (Qomity): (IIS)
Extranet Artemis (produits culturels + bio);Siplec (Leclerc);Digital;2013;Sigma;200;0;0;200;JAVA:7,Groovy;Grails:2.2.5;0;0;0;Oracle;0;Git (Sigma): https://gitn.sigma.fr/sip/centraleachatculturel;0;0;war;0;PROD (Qomity): (VM){EOL}REC (Qomity): (VM){EOL}INT (Qomity): (VM)
Ulysse 1;Siplec (Leclerc);Digital;0;0;20;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;
Ulis;U GIE IRIS;Digital;0;0;600;0;600;600;Windev;0;0;0;0;SQL Server;0;Basdev (U GIE);0;0;0;0;
